customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Cust0001,Male,0,No,No,67,Yes,No,Fiber optic,No internet service,Yes,No internet service,Yes,No internet service,No internet service,Month-to-month,Yes,Electronic check,69.13,4642.02,No
Cust0002,Male,0,No,Yes,4,Yes,No phone service,DSL,Yes,No,No,Yes,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),37.61,153.25,Yes
Cust0003,Female,0,Yes,No,39,Yes,No,DSL,No,No,No internet service,No internet service,Yes,Yes,Month-to-month,No,Bank transfer (automatic),55.36,2167.44,No
Cust0004,Female,0,No,No,12,Yes,No,No,No,Yes,No,No,No internet service,Yes,One year,No,Credit card (automatic),35.74,410.79,No
Cust0005,Female,0,No,Yes,35,Yes,No phone service,DSL,No internet service,No,Yes,No,No internet service,No,Two year,Yes,Electronic check,43.36,1497.35,No
Cust0006,Female,0,Yes,No,13,Yes,No phone service,DSL,Yes,Yes,Yes,No internet service,No,Yes,Month-to-month,Yes,Credit card (automatic),55.65,724.34,Yes
Cust0007,Male,0,No,No,20,Yes,No,Fiber optic,No internet service,No,Yes,No internet service,No,Yes,Month-to-month,Yes,Mailed check,70.5,1427.5,No
Cust0008,Male,0,No,No,41,Yes,Yes,DSL,No internet service,Yes,No internet service,Yes,No internet service,Yes,Two year,No,Mailed check,59.69,2463.67,No
Cust0009,Male,0,Yes,Yes,5,Yes,Yes,Fiber optic,Yes,No internet service,Yes,No,Yes,Yes,One year,Yes,Electronic check,88.4,453.09,Yes
Cust0010,Male,0,Yes,Yes,48,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),82.51,3929.89,Yes
Cust0011,Male,0,No,No,35,Yes,No,Fiber optic,No,No internet service,Yes,No,No internet service,No internet service,Two year,No,Electronic check,75.71,2626.51,No
Cust0012,Female,0,No,Yes,25,Yes,No,DSL,No internet service,No internet service,No,No internet service,Yes,No,Month-to-month,Yes,Mailed check,56.8,1410.74,No
Cust0013,Male,0,No,No,14,Yes,No phone service,Fiber optic,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,71.02,992.36,Yes
Cust0014,Male,0,Yes,Yes,23,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,64.52,1490.33,Yes
Cust0015,Male,0,No,No,37,Yes,No phone service,DSL,No internet service,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,71.35,2629.54,Yes
Cust0016,Male,1,Yes,No,41,Yes,No phone service,Fiber optic,No internet service,No,No,No internet service,No,No internet service,Month-to-month,Yes,Electronic check,80.27,3282.07,Yes
Cust0017,Female,1,Yes,No,31,Yes,Yes,Fiber optic,No internet service,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),63.18,1967.98,Yes
Cust0018,Male,0,Yes,No,64,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),27.56,1782.4,No
Cust0019,Male,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,One year,Yes,Electronic check,85.28,1297.64,No
